sample_id,run_id,channel_id,event_time,t_seconds,value,unit,quality
T-101:P-101:22,T-101,CH-P-101,2026-09-09T12:00:02.200000Z,2.2,103.63154,KiloPA,good
T-101:P-101:23,T-101,CH-P-101,2026-09-09T12:00:02.300000Z,2.3,103.78877,KiloPA,good
T-101:P-101:24,T-101,CH-P-101,2026-09-09T12:00:02.400000Z,2.4,103.87859,KiloPA,good
T-101:P-101:25,T-101,CH-P-101,2026-09-09T12:00:02.500000Z,2.5,103.72858,KiloPA,good
T-101:P-101:26,T-101,CH-P-101,2026-09-09T12:00:02.600000Z,2.6,103.85526,KiloPA,good
T-101:P-101:27,T-101,CH-P-101,2026-09-09T12:00:02.700000Z,2.7,103.86233,KiloPA,good
T-101:P-101:28,T-101,CH-P-101,2026-09-09T12:00:02.800000Z,2.8,103.97507,KiloPA,good
T-101:P-101:29,T-101,CH-P-101,2026-09-09T12:00:02.900000Z,2.9,103.69872,KiloPA,good
T-101:P-101:30,T-101,CH-P-101,2026-09-09T12:00:03Z,3.0,103.99435,KiloPA,good
T-101:P-101:31,T-101,CH-P-101,2026-09-09T12:00:03.100000Z,3.1,103.68733,KiloPA,good
T-101:P-101:32,T-101,CH-P-101,2026-09-09T12:00:03.200000Z,3.2,103.53632,KiloPA,good
T-101:P-101:33,T-101,CH-P-101,2026-09-09T12:00:03.300000Z,3.3,103.88388,KiloPA,good
T-101:P-101:34,T-101,CH-P-101,2026-09-09T12:00:03.400000Z,3.4,103.85954,KiloPA,good
T-101:P-101:35,T-101,CH-P-101,2026-09-09T12:00:03.500000Z,3.5,104.17091,KiloPA,good
T-101:P-101:36,T-101,CH-P-101,2026-09-09T12:00:03.600000Z,3.6,104.1613,KiloPA,good
T-101:P-101:37,T-101,CH-P-101,2026-09-09T12:00:03.700000Z,3.7,103.88381,KiloPA,good
T-101:P-101:38,T-101,CH-P-101,2026-09-09T12:00:03.800000Z,3.8,104.23785,KiloPA,good
T-101:P-101:39,T-101,CH-P-101,2026-09-09T12:00:03.900000Z,3.9,103.96489,KiloPA,good
T-101:P-101:40,T-101,CH-P-101,2026-09-09T12:00:04Z,4.0,104.13397,KiloPA,good
T-101:P-101:41,T-101,CH-P-101,2026-09-09T12:00:04.100000Z,4.1,104.12281,KiloPA,good
T-101:P-101:42,T-101,CH-P-101,2026-09-09T12:00:04.200000Z,4.2,104.20974,KiloPA,good
T-101:P-101:43,T-101,CH-P-101,2026-09-09T12:00:04.300000Z,4.3,104.34353,KiloPA,good
T-101:P-101:44,T-101,CH-P-101,2026-09-09T12:00:04.400000Z,4.4,104.33533,KiloPA,good
T-101:P-101:45,T-101,CH-P-101,2026-09-09T12:00:04.500000Z,4.5,104.3093,KiloPA,good
T-101:P-101:46,T-101,CH-P-101,2026-09-09T12:00:04.600000Z,4.6,104.37695,KiloPA,good
T-101:P-101:47,T-101,CH-P-101,2026-09-09T12:00:04.700000Z,4.7,104.36865,KiloPA,good
T-101:P-101:48,T-101,CH-P-101,2026-09-09T12:00:04.800000Z,4.8,104.21039,KiloPA,good
T-101:P-101:49,T-101,CH-P-101,2026-09-09T12:00:04.900000Z,4.9,104.21402,KiloPA,good
T-101:P-101:50,T-101,CH-P-101,2026-09-09T12:00:05Z,5.0,104.27116,KiloPA,good
T-101:P-101:51,T-101,CH-P-101,2026-09-09T12:00:05.100000Z,5.1,104.44327,KiloPA,good
T-101:P-101:52,T-101,CH-P-101,2026-09-09T12:00:05.200000Z,5.2,104.33983,KiloPA,good
T-101:P-101:53,T-101,CH-P-101,2026-09-09T12:00:05.300000Z,5.3,104.76949,KiloPA,good
T-101:P-101:54,T-101,CH-P-101,2026-09-09T12:00:05.400000Z,5.4,104.28005,KiloPA,good
T-101:P-101:55,T-101,CH-P-101,2026-09-09T12:00:05.500000Z,5.5,104.25011,KiloPA,good
T-101:P-101:56,T-101,CH-P-101,2026-09-09T12:00:05.600000Z,5.6,104.56312,KiloPA,good
T-101:P-101:57,T-101,CH-P-101,2026-09-09T12:00:05.700000Z,5.7,104.68131,KiloPA,good
T-101:P-101:58,T-101,CH-P-101,2026-09-09T12:00:05.800000Z,5.8,104.5478,KiloPA,good
T-101:P-101:59,T-101,CH-P-101,2026-09-09T12:00:05.900000Z,5.9,104.6131,KiloPA,good
T-101:P-101:60,T-101,CH-P-101,2026-09-09T12:00:06Z,6.0,104.71948,KiloPA,good
T-101:P-101:61,T-101,CH-P-101,2026-09-09T12:00:06.100000Z,6.1,104.48751,KiloPA,good
T-101:P-101:62,T-101,CH-P-101,2026-09-09T12:00:06.200000Z,6.2,104.28558,KiloPA,good
T-101:P-101:63,T-101,CH-P-101,2026-09-09T12:00:06.300000Z,6.3,104.43821,KiloPA,good
T-101:P-101:64,T-101,CH-P-101,2026-09-09T12:00:06.400000Z,6.4,104.68529,KiloPA,good
T-101:P-101:65,T-101,CH-P-101,2026-09-09T12:00:06.500000Z,6.5,104.3107,KiloPA,good
T-101:P-101:66,T-101,CH-P-101,2026-09-09T12:00:06.600000Z,6.6,104.55531,KiloPA,good
T-101:P-101:67,T-101,CH-P-101,2026-09-09T12:00:06.700000Z,6.7,104.59809,KiloPA,good
T-101:P-101:68,T-101,CH-P-101,2026-09-09T12:00:06.800000Z,6.8,104.51409,KiloPA,good
T-101:P-101:69,T-101,CH-P-101,2026-09-09T12:00:06.900000Z,6.9,104.68675,KiloPA,good
T-101:P-101:70,T-101,CH-P-101,2026-09-09T12:00:07Z,7.0,104.66964,KiloPA,good
T-101:P-101:71,T-101,CH-P-101,2026-09-09T12:00:07.100000Z,7.1,104.95327,KiloPA,good
T-101:P-101:72,T-101,CH-P-101,2026-09-09T12:00:07.200000Z,7.2,104.68553,KiloPA,good
T-101:P-101:73,T-101,CH-P-101,2026-09-09T12:00:07.300000Z,7.3,104.49268,KiloPA,good
T-101:P-101:74,T-101,CH-P-101,2026-09-09T12:00:07.400000Z,7.4,104.50352,KiloPA,good
T-101:P-101:75,T-101,CH-P-101,2026-09-09T12:00:07.500000Z,7.5,104.46294,KiloPA,good
T-101:P-101:76,T-101,CH-P-101,2026-09-09T12:00:07.600000Z,7.6,104.7503,KiloPA,good
T-101:P-101:77,T-101,CH-P-101,2026-09-09T12:00:07.700000Z,7.7,104.50855,KiloPA,good
T-101:P-101:78,T-101,CH-P-101,2026-09-09T12:00:07.800000Z,7.8,104.58867,KiloPA,good
T-101:P-101:79,T-101,CH-P-101,2026-09-09T12:00:07.900000Z,7.9,104.71982,KiloPA,good
T-101:P-101:80,T-101,CH-P-101,2026-09-09T12:00:08Z,8.0,104.48356,KiloPA,good
T-101:P-101:81,T-101,CH-P-101,2026-09-09T12:00:08.100000Z,8.1,104.55108,KiloPA,good
T-101:P-101:82,T-101,CH-P-101,2026-09-09T12:00:08.200000Z,8.2,104.30156,KiloPA,good
T-101:P-101:83,T-101,CH-P-101,2026-09-09T12:00:08.300000Z,8.3,104.42044,KiloPA,good
T-101:P-101:84,T-101,CH-P-101,2026-09-09T12:00:08.400000Z,8.4,104.49963,KiloPA,good
T-101:P-101:85,T-101,CH-P-101,2026-09-09T12:00:08.500000Z,8.5,104.65319,KiloPA,good
T-101:P-101:86,T-101,CH-P-101,2026-09-09T12:00:08.600000Z,8.6,104.77318,KiloPA,good
T-101:P-101:87,T-101,CH-P-101,2026-09-09T12:00:08.700000Z,8.7,104.5742,KiloPA,good
T-101:P-101:88,T-101,CH-P-101,2026-09-09T12:00:08.800000Z,8.8,104.61327,KiloPA,good
T-101:P-101:89,T-101,CH-P-101,2026-09-09T12:00:08.900000Z,8.9,104.59199,KiloPA,good
T-101:P-101:90,T-101,CH-P-101,2026-09-09T12:00:09Z,9.0,104.73171,KiloPA,good
T-101:P-101:91,T-101,CH-P-101,2026-09-09T12:00:09.100000Z,9.1,104.69351,KiloPA,good
T-101:P-101:92,T-101,CH-P-101,2026-09-09T12:00:09.200000Z,9.2,104.58616,KiloPA,good
T-101:P-101:93,T-101,CH-P-101,2026-09-09T12:00:09.300000Z,9.3,104.3718,KiloPA,good
T-101:P-101:94,T-101,CH-P-101,2026-09-09T12:00:09.400000Z,9.4,104.66866,KiloPA,good
T-101:P-101:95,T-101,CH-P-101,2026-09-09T12:00:09.500000Z,9.5,104.57505,KiloPA,good
T-101:P-101:96,T-101,CH-P-101,2026-09-09T12:00:09.600000Z,9.6,104.69974,KiloPA,good
T-101:P-101:97,T-101,CH-P-101,2026-09-09T12:00:09.700000Z,9.7,104.4874,KiloPA,good
T-101:P-101:98,T-101,CH-P-101,2026-09-09T12:00:09.800000Z,9.8,104.79283,KiloPA,good
T-101:P-101:99,T-101,CH-P-101,2026-09-09T12:00:09.900000Z,9.9,104.41048,KiloPA,good
T-101:P-101:100,T-101,CH-P-101,2026-09-09T12:00:10Z,10.0,104.70977,KiloPA,good
T-101:P-101:101,T-101,CH-P-101,2026-09-09T12:00:10.100000Z,10.1,104.45969,KiloPA,good
T-101:P-101:102,T-101,CH-P-101,2026-09-09T12:00:10.200000Z,10.2,104.34448,KiloPA,good
T-101:P-101:103,T-101,CH-P-101,2026-09-09T12:00:10.300000Z,10.3,104.23178,KiloPA,good
T-101:P-101:104,T-101,CH-P-101,2026-09-09T12:00:10.400000Z,10.4,104.37285,KiloPA,good
T-101:P-101:105,T-101,CH-P-101,2026-09-09T12:00:10.500000Z,10.5,104.60887,KiloPA,good
T-101:P-101:106,T-101,CH-P-101,2026-09-09T12:00:10.600000Z,10.6,104.49532,KiloPA,good
T-101:P-101:107,T-101,CH-P-101,2026-09-09T12:00:10.700000Z,10.7,104.45795,KiloPA,good
T-101:P-101:108,T-101,CH-P-101,2026-09-09T12:00:10.800000Z,10.8,103.95007,KiloPA,good
T-101:P-101:109,T-101,CH-P-101,2026-09-09T12:00:10.900000Z,10.9,104.42592,KiloPA,good
T-101:P-101:110,T-101,CH-P-101,2026-09-09T12:00:11Z,11.0,104.38253,KiloPA,good
T-101:P-101:111,T-101,CH-P-101,2026-09-09T12:00:11.100000Z,11.1,104.18652,KiloPA,good
T-101:P-101:112,T-101,CH-P-101,2026-09-09T12:00:11.200000Z,11.2,104.15452,KiloPA,good
T-101:P-101:113,T-101,CH-P-101,2026-09-09T12:00:11.300000Z,11.3,104.23443,KiloPA,good
T-101:P-101:114,T-101,CH-P-101,2026-09-09T12:00:11.400000Z,11.4,104.49019,KiloPA,good
T-101:P-101:115,T-101,CH-P-101,2026-09-09T12:00:11.500000Z,11.5,104.02431,KiloPA,good
T-101:P-101:116,T-101,CH-P-101,2026-09-09T12:00:11.600000Z,11.6,104.10312,KiloPA,good
T-101:P-101:117,T-101,CH-P-101,2026-09-09T12:00:11.700000Z,11.7,104.36743,KiloPA,good
T-101:P-101:118,T-101,CH-P-101,2026-09-09T12:00:11.800000Z,11.8,104.05567,KiloPA,good
T-101:P-101:119,T-101,CH-P-101,2026-09-09T12:00:11.900000Z,11.9,104.04584,KiloPA,good
T-101:P-101:120,T-101,CH-P-101,2026-09-09T12:00:12Z,12.0,104.09639,KiloPA,good
T-101:P-101:121,T-101,CH-P-101,2026-09-09T12:00:12.100000Z,12.1,103.85832,KiloPA,good
T-101:P-101:122,T-101,CH-P-101,2026-09-09T12:00:12.200000Z,12.2,104.06789,KiloPA,good
T-101:P-101:123,T-101,CH-P-101,2026-09-09T12:00:12.300000Z,12.3,103.81451,KiloPA,good
T-101:P-101:124,T-101,CH-P-101,2026-09-09T12:00:12.400000Z,12.4,104.12463,KiloPA,good
T-101:P-101:125,T-101,CH-P-101,2026-09-09T12:00:12.500000Z,12.5,103.95806,KiloPA,good
T-101:P-101:126,T-101,CH-P-101,2026-09-09T12:00:12.600000Z,12.6,104.29708,KiloPA,good
T-101:P-101:127,T-101,CH-P-101,2026-09-09T12:00:12.700000Z,12.7,103.95046,KiloPA,good
T-101:P-101:128,T-101,CH-P-101,2026-09-09T12:00:12.800000Z,12.8,104.09748,KiloPA,good
T-101:P-101:129,T-101,CH-P-101,2026-09-09T12:00:12.900000Z,12.9,103.64353,KiloPA,good
T-101:P-101:130,T-101,CH-P-101,2026-09-09T12:00:13Z,13.0,103.80526,KiloPA,good
T-101:P-101:131,T-101,CH-P-101,2026-09-09T12:00:13.100000Z,13.1,103.84892,KiloPA,good
T-101:P-101:132,T-101,CH-P-101,2026-09-09T12:00:13.200000Z,13.2,104.04863,KiloPA,good
T-101:P-101:133,T-101,CH-P-101,2026-09-09T12:00:13.300000Z,13.3,103.47216,KiloPA,good
T-101:P-101:134,T-101,CH-P-101,2026-09-09T12:00:13.400000Z,13.4,103.8711,KiloPA,good
T-101:P-101:135,T-101,CH-P-101,2026-09-09T12:00:13.500000Z,13.5,103.77842,KiloPA,good
T-101:P-101:136,T-101,CH-P-101,2026-09-09T12:00:13.600000Z,13.6,103.90011,KiloPA,good
T-101:P-101:137,T-101,CH-P-101,2026-09-09T12:00:13.700000Z,13.7,103.7394,KiloPA,good
T-101:P-101:138,T-101,CH-P-101,2026-09-09T12:00:13.800000Z,13.8,103.60417,KiloPA,good
T-101:P-101:139,T-101,CH-P-101,2026-09-09T12:00:13.900000Z,13.9,103.48256,KiloPA,good
T-101:P-101:140,T-101,CH-P-101,2026-09-09T12:00:14Z,14.0,103.33627,KiloPA,good
T-101:P-101:141,T-101,CH-P-101,2026-09-09T12:00:14.100000Z,14.1,103.53699,KiloPA,good
T-101:P-101:142,T-101,CH-P-101,2026-09-09T12:00:14.200000Z,14.2,103.44459,KiloPA,good
T-101:P-101:143,T-101,CH-P-101,2026-09-09T12:00:14.300000Z,14.3,103.76786,KiloPA,good
T-101:P-101:144,T-101,CH-P-101,2026-09-09T12:00:14.400000Z,14.4,103.31603,KiloPA,good
T-101:P-101:145,T-101,CH-P-101,2026-09-09T12:00:14.500000Z,14.5,103.43406,KiloPA,good
T-101:P-101:146,T-101,CH-P-101,2026-09-09T12:00:14.600000Z,14.6,103.10061,KiloPA,good
T-101:P-101:147,T-101,CH-P-101,2026-09-09T12:00:14.700000Z,14.7,103.25709,KiloPA,good
T-101:P-101:148,T-101,CH-P-101,2026-09-09T12:00:14.800000Z,14.8,103.33074,KiloPA,good
T-101:P-101:149,T-101,CH-P-101,2026-09-09T12:00:14.900000Z,14.9,103.38926,KiloPA,good
T-101:P-101:150,T-101,CH-P-101,2026-09-09T12:00:15Z,15.0,103.45749,KiloPA,good
T-101:P-101:151,T-101,CH-P-101,2026-09-09T12:00:15.100000Z,15.1,103.18701,KiloPA,good
T-101:P-101:152,T-101,CH-P-101,2026-09-09T12:00:15.200000Z,15.2,102.98351,KiloPA,good
T-101:P-101:153,T-101,CH-P-101,2026-09-09T12:00:15.300000Z,15.3,103.20366,KiloPA,good
T-101:P-101:154,T-101,CH-P-101,2026-09-09T12:00:15.400000Z,15.4,103.1812,KiloPA,good
T-101:P-101:155,T-101,CH-P-101,2026-09-09T12:00:15.500000Z,15.5,103.14519,KiloPA,good
T-101:P-101:156,T-101,CH-P-101,2026-09-09T12:00:15.600000Z,15.6,102.9225,KiloPA,good
T-101:P-101:157,T-101,CH-P-101,2026-09-09T12:00:15.700000Z,15.7,103.18389,KiloPA,good
T-101:P-101:158,T-101,CH-P-101,2026-09-09T12:00:15.800000Z,15.8,102.98461,KiloPA,good
T-101:P-101:159,T-101,CH-P-101,2026-09-09T12:00:15.900000Z,15.9,103.05054,KiloPA,good
T-101:P-101:160,T-101,CH-P-101,2026-09-09T12:00:16Z,16.0,103.11045,KiloPA,good
T-101:P-101:161,T-101,CH-P-101,2026-09-09T12:00:16.100000Z,16.1,102.97216,KiloPA,good
T-101:P-101:162,T-101,CH-P-101,2026-09-09T12:00:16.200000Z,16.2,102.88864,KiloPA,good
T-101:P-101:163,T-101,CH-P-101,2026-09-09T12:00:16.300000Z,16.3,103.15544,KiloPA,good
T-101:P-101:164,T-101,CH-P-101,2026-09-09T12:00:16.400000Z,16.4,102.81825,KiloPA,good
T-101:P-101:165,T-101,CH-P-101,2026-09-09T12:00:16.500000Z,16.5,102.70025,KiloPA,good
T-101:P-101:166,T-101,CH-P-101,2026-09-09T12:00:16.600000Z,16.6,102.73397,KiloPA,good
T-101:P-101:167,T-101,CH-P-101,2026-09-09T12:00:16.700000Z,16.7,102.92187,KiloPA,good
T-101:P-101:168,T-101,CH-P-101,2026-09-09T12:00:16.800000Z,16.8,102.67231,KiloPA,good
T-101:P-101:169,T-101,CH-P-101,2026-09-09T12:00:16.900000Z,16.9,102.70525,KiloPA,good
T-101:P-101:170,T-101,CH-P-101,2026-09-09T12:00:17Z,17.0,102.78245,KiloPA,good
T-101:P-101:171,T-101,CH-P-101,2026-09-09T12:00:17.100000Z,17.1,102.47822,KiloPA,good
T-101:P-101:172,T-101,CH-P-101,2026-09-09T12:00:17.200000Z,17.2,102.25335,KiloPA,good
T-101:P-101:173,T-101,CH-P-101,2026-09-09T12:00:17.300000Z,17.3,102.54702,KiloPA,good
T-101:P-101:174,T-101,CH-P-101,2026-09-09T12:00:17.400000Z,17.4,102.50558,KiloPA,good
T-101:P-101:175,T-101,CH-P-101,2026-09-09T12:00:17.500000Z,17.5,102.34147,KiloPA,good
T-101:P-101:176,T-101,CH-P-101,2026-09-09T12:00:17.600000Z,17.6,102.54827,KiloPA,good
T-101:P-101:177,T-101,CH-P-101,2026-09-09T12:00:17.700000Z,17.7,102.47649,KiloPA,good
T-101:P-101:178,T-101,CH-P-101,2026-09-09T12:00:17.800000Z,17.8,102.19071,KiloPA,good
T-101:P-101:179,T-101,CH-P-101,2026-09-09T12:00:17.900000Z,17.9,102.40372,KiloPA,good
T-101:P-101:180,T-101,CH-P-101,2026-09-09T12:00:18Z,18.0,102.26059,KiloPA,good
T-101:P-101:181,T-101,CH-P-101,2026-09-09T12:00:18.100000Z,18.1,102.02613,KiloPA,good
T-101:P-101:182,T-101,CH-P-101,2026-09-09T12:00:18.200000Z,18.2,102.30763,KiloPA,good
T-101:P-101:183,T-101,CH-P-101,2026-09-09T12:00:18.300000Z,18.3,102.19997,KiloPA,good
T-101:P-101:184,T-101,CH-P-101,2026-09-09T12:00:18.400000Z,18.4,102.06032,KiloPA,good
T-101:P-101:185,T-101,CH-P-101,2026-09-09T12:00:18.500000Z,18.5,102.23593,KiloPA,good
T-101:P-101:186,T-101,CH-P-101,2026-09-09T12:00:18.600000Z,18.6,102.20339,KiloPA,good
T-101:P-101:187,T-101,CH-P-101,2026-09-09T12:00:18.700000Z,18.7,102.00627,KiloPA,good
T-101:P-101:188,T-101,CH-P-101,2026-09-09T12:00:18.800000Z,18.8,102.13648,KiloPA,good
T-101:P-101:189,T-101,CH-P-101,2026-09-09T12:00:18.900000Z,18.9,102.20894,KiloPA,good
T-101:P-101:190,T-101,CH-P-101,2026-09-09T12:00:19Z,19.0,101.907,KiloPA,good
T-101:P-101:191,T-101,CH-P-101,2026-09-09T12:00:19.100000Z,19.1,102.05686,KiloPA,good
T-101:P-101:192,T-101,CH-P-101,2026-09-09T12:00:19.200000Z,19.2,101.97164,KiloPA,good
T-101:P-101:193,T-101,CH-P-101,2026-09-09T12:00:19.300000Z,19.3,102.30946,KiloPA,good
T-101:P-101:194,T-101,CH-P-101,2026-09-09T12:00:19.400000Z,19.4,101.62505,KiloPA,good
T-101:P-101:195,T-101,CH-P-101,2026-09-09T12:00:19.500000Z,19.5,102.01082,KiloPA,good
T-101:P-101:196,T-101,CH-P-101,2026-09-09T12:00:19.600000Z,19.6,101.82757,KiloPA,good
T-101:P-101:197,T-101,CH-P-101,2026-09-09T12:00:19.700000Z,19.7,101.83798,KiloPA,good
T-101:P-101:198,T-101,CH-P-101,2026-09-09T12:00:19.800000Z,19.8,102.13616,KiloPA,good
T-101:P-101:199,T-101,CH-P-101,2026-09-09T12:00:19.900000Z,19.9,101.8089,KiloPA,good
T-101:P-101:200,T-101,CH-P-101,2026-09-09T12:00:20Z,20.0,102.14767,KiloPA,good
T-101:P-101:201,T-101,CH-P-101,2026-09-09T12:00:20.100000Z,20.1,101.6977,KiloPA,good
T-101:P-101:202,T-101,CH-P-101,2026-09-09T12:00:20.200000Z,20.2,101.80434,KiloPA,good
T-101:P-101:203,T-101,CH-P-101,2026-09-09T12:00:20.300000Z,20.3,101.65005,KiloPA,good
T-101:P-101:204,T-101,CH-P-101,2026-09-09T12:00:20.400000Z,20.4,101.5989,KiloPA,good
T-101:P-101:205,T-101,CH-P-101,2026-09-09T12:00:20.500000Z,20.5,101.70075,KiloPA,good
T-101:P-101:206,T-101,CH-P-101,2026-09-09T12:00:20.600000Z,20.6,101.62741,KiloPA,good
T-101:P-101:207,T-101,CH-P-101,2026-09-09T12:00:20.700000Z,20.7,101.68742,KiloPA,good
T-101:P-101:208,T-101,CH-P-101,2026-09-09T12:00:20.800000Z,20.8,101.30116,KiloPA,good
T-101:P-101:209,T-101,CH-P-101,2026-09-09T12:00:20.900000Z,20.9,101.94184,KiloPA,good
T-101:P-101:210,T-101,CH-P-101,2026-09-09T12:00:21Z,21.0,101.57876,KiloPA,good
T-101:P-101:211,T-101,CH-P-101,2026-09-09T12:00:21.100000Z,21.1,101.86894,KiloPA,good
T-101:P-101:212,T-101,CH-P-101,2026-09-09T12:00:21.200000Z,21.2,101.41409,KiloPA,good
T-101:P-101:213,T-101,CH-P-101,2026-09-09T12:00:21.300000Z,21.3,101.60776,KiloPA,good
T-101:P-101:214,T-101,CH-P-101,2026-09-09T12:00:21.400000Z,21.4,102.05364,KiloPA,good
T-101:P-101:215,T-101,CH-P-101,2026-09-09T12:00:21.500000Z,21.5,101.39498,KiloPA,good
T-101:P-101:216,T-101,CH-P-101,2026-09-09T12:00:21.600000Z,21.6,101.28235,KiloPA,good
T-101:P-101:217,T-101,CH-P-101,2026-09-09T12:00:21.700000Z,21.7,101.42222,KiloPA,good
T-101:P-101:218,T-101,CH-P-101,2026-09-09T12:00:21.800000Z,21.8,101.57392,KiloPA,good
T-101:P-101:219,T-101,CH-P-101,2026-09-09T12:00:21.900000Z,21.9,101.59851,KiloPA,good
T-101:P-101:220,T-101,CH-P-101,2026-09-09T12:00:22Z,22.0,101.6839,KiloPA,good
T-101:P-101:221,T-101,CH-P-101,2026-09-09T12:00:22.100000Z,22.1,101.42679,KiloPA,good
T-101:P-101:222,T-101,CH-P-101,2026-09-09T12:00:22.200000Z,22.2,101.20263,KiloPA,good
T-101:P-101:223,T-101,CH-P-101,2026-09-09T12:00:22.300000Z,22.3,101.38109,KiloPA,good
T-101:P-101:224,T-101,CH-P-101,2026-09-09T12:00:22.400000Z,22.4,101.64145,KiloPA,good
T-101:P-101:225,T-101,CH-P-101,2026-09-09T12:00:22.500000Z,22.5,101.51046,KiloPA,good
T-101:P-101:226,T-101,CH-P-101,2026-09-09T12:00:22.600000Z,22.6,101.11641,KiloPA,good
T-101:P-101:227,T-101,CH-P-101,2026-09-09T12:00:22.700000Z,22.7,101.41811,KiloPA,good
T-101:P-101:228,T-101,CH-P-101,2026-09-09T12:00:22.800000Z,22.8,101.64225,KiloPA,good
T-101:P-101:229,T-101,CH-P-101,2026-09-09T12:00:22.900000Z,22.9,101.75425,KiloPA,good
T-101:P-101:230,T-101,CH-P-101,2026-09-09T12:00:23Z,23.0,101.49996,KiloPA,good
T-101:P-101:231,T-101,CH-P-101,2026-09-09T12:00:23.100000Z,23.1,101.45631,KiloPA,good
T-101:P-101:232,T-101,CH-P-101,2026-09-09T12:00:23.200000Z,23.2,101.20576,KiloPA,good
T-101:P-101:233,T-101,CH-P-101,2026-09-09T12:00:23.300000Z,23.3,101.26728,KiloPA,good
T-101:P-101:234,T-101,CH-P-101,2026-09-09T12:00:23.400000Z,23.4,101.40835,KiloPA,good
T-101:P-101:235,T-101,CH-P-101,2026-09-09T12:00:23.500000Z,23.5,101.48063,KiloPA,good
T-101:P-101:236,T-101,CH-P-101,2026-09-09T12:00:23.600000Z,23.6,101.49288,KiloPA,good
T-101:P-101:237,T-101,CH-P-101,2026-09-09T12:00:23.700000Z,23.7,101.3241,KiloPA,good
T-101:P-101:238,T-101,CH-P-101,2026-09-09T12:00:23.800000Z,23.8,101.2175,KiloPA,good
T-101:P-101:239,T-101,CH-P-101,2026-09-09T12:00:23.900000Z,23.9,101.27921,KiloPA,good
T-101:P-101:240,T-101,CH-P-101,2026-09-09T12:00:24Z,24.0,101.22102,KiloPA,good
T-101:P-101:241,T-101,CH-P-101,2026-09-09T12:00:24.100000Z,24.1,101.5122,KiloPA,good
T-101:P-101:242,T-101,CH-P-101,2026-09-09T12:00:24.200000Z,24.2,101.04305,KiloPA,good
T-101:P-101:243,T-101,CH-P-101,2026-09-09T12:00:24.300000Z,24.3,101.36408,KiloPA,good
T-101:P-101:244,T-101,CH-P-101,2026-09-09T12:00:24.400000Z,24.4,101.4944,KiloPA,good
T-101:P-101:245,T-101,CH-P-101,2026-09-09T12:00:24.500000Z,24.5,101.6716,KiloPA,good
T-101:P-101:246,T-101,CH-P-101,2026-09-09T12:00:24.600000Z,24.6,101.44577,KiloPA,good
T-101:P-101:247,T-101,CH-P-101,2026-09-09T12:00:24.700000Z,24.7,101.60147,KiloPA,good
T-101:P-101:248,T-101,CH-P-101,2026-09-09T12:00:24.800000Z,24.8,101.38496,KiloPA,good
T-101:P-101:249,T-101,CH-P-101,2026-09-09T12:00:24.900000Z,24.9,101.33785,KiloPA,good
